FILM	DATE	DIRECTOR	ATROCITY, GENOCIDE	DATA STATE	LANGUAGE	DURATION	PRODUCER	COUNTRY	ACQUIRED	LINKS	COMMENTS	PERP REPR	PERP GROUPS	PERP GENDER	VIOLENCE RATIONALE/CAUSES	COLLABORATOR GROUPS	VICTIM REPR	VICTIM GROUPS	VICTIM GENDER INTERVIEWS	SEXUAL VIOLENCE	DOC TYPE	RATINGS	AWARD
Nostalgia de la luz 	2010	Patricio Guzmán	Pinochet Chile	0	esp	90				https://www.youtube.com/watch?v=hQ6Ml6Aa8g4													
El Mocito (The young butler)	2011	Marcela Said, Jean de Ceartau	Pinochet Chile	0																			
¡Viva Chile Mierda! (Long Live Chile, Damn It!) 	2014	Adrián Goycoolea 	Pinochet Chile	0																			
El pacto de Adriana (Adriana's Pact)	2017	Lissette Orozco	Pinochet Chile	0					VOD	https://www.mowies.com/watch/5dc2db6f50dbb127c70782f5		direct									T		
El color del Camaleón (The colour of the chameleon)	2017	Andrés Lübbert	Pinochet Chile	0																			
Chile: What Price Profit?		Judy Jackson	Pinochet Chile	0	en	57			ONLINE	https://www.judyfilms.com/filmography?pgid=jul8lmpn-b71655eb-3b0b-4ade-b40a-65d7c2b4faff													
Chile 1988: Adios General		Judy Jackson	Pinochet Chile	0	en	53			ONLINE	https://www.judyfilms.com/filmography?pgid=jul8lmpn-480f6c5c-55e2-4f09-a2ac-e1f0d7f868b5													
Songs of Repression	2020	Marianne Hougen-Moraga, Estephan Wagner	Pinochet Chile, Colonia Dignidad	0	de, esp, en	88		Denmark, Netherlands	VIMEO	https://vimeo.com/ondemand/275910?embedded=true&source=video_title&owner=6829197													
Americas in Transition	1982	Obie Benz	Pinochet Chile, El Salvador, Guatemala, and Nicaragua	0	en	29		US			[on Chile, El Salvador, Guatemala, and Nicaragua in 1980s and 90s]												
Journey Into Darkness	1994	Fergal Keane, David Harrison	Rwanda	0	en	45	BBC	UK			[BBC panorama, features interview with former mayor of Rusumo Sylvestre Gacumbitsi; see his trial at ICTR where he received life sentence https://ucr.irmct.org/scasedocs/case/ICTR-01-64#eng] This broadcast is from April, 1994, as the war in Rwanda is in full scale. Fergal Keane of the BBC reports on how innocent civilians have been caught between Rwandan Patriotic Front (RPF) and Rwandan Government soldiers' conflicts throughout Rwanda. Keane states that mass killings have been taking place in Kigali. Continuing his journey into the heart of the war, the reporter visits a Catholic church in the Nyarubuye region, the site of a mass killing. After venturing to Nyarubuye, the broadcast follows Keane into a refugee camp in Tanzania, where he meets with Gacumbitsi, the man accused of organizing the Nyarubuye massacre. He then moves on to Butare, where he focuses on the prefect Sylvan Nsabimana. Keane interviews Nsabimana, showing how he has protected people from being killed by government soldiers and militias before his being sacked and replaced by a Rwandan government army officer.	direct									H		
A Culture of Murder	1994	Steve Bradshaw	Rwanda	0	en	45	BBC	UK			[BBC panorama; advert text: "Can a nation put an end to its culture of murder? Stephen Bradshaw opens this documentary with a provocative question and analysis. The documentary focuses first on Rwandan refugees crowding the Goma camp in Zaire where approximately 200 orphans rejected and abandoned had arrived after walking for 70 kilometers. Neither the French (Operation Turquoise) nor UNAMIR came to their rescue. The children, obvious victims of the adults' folly, were found lost in the fields and brought from the bushes where they had been hiding for days. Some adult refugees stricken by hunger returned to scavenge their own abandoned maize and tea fields, but many others fear reprisals from the Rwandan Patriotic Front (RPF) and so prefer to stay in the squalid conditions of the refugee camps in Zaire. The conditions "defy a journalist's clichès" with no water available and corpses that lay near the camps waiting to be picked up by trucks. 43.000 have died and bodies are taken to the roads for collection. However, the truth is, most of the bodies remain untouched close to campsites being used by the international press. Another major problem is the violent and chaotic situation in which everyone is living. A culture of murder means that the law lies in the hands of young thugs walking around with machetes and maintaining an atmosphere of threatening violence. Knife fights over the food distribution process are quite common. Bradshaw maintains that the village system has moved as a whole into the camps. Everyone obeys the Hutu elders. Food goes to them first. Grain, which is desperately needed, is taken by force then distributed the way the elders see fit. Aid workers are aware of who sets the rules and the United Nations has no illusion about who is really in control. These Hutu elders, many of whom bear responsibility for the massacres back in Rwanda, have brought with them their own system of justice. They send out thugs to control the rest of the refugees. A United Nations High Commissioner for Refugees (UNHCR) official acknowledges that among the refugees they are helping there are murderers. The very same people who helped initiate the violence with their propaganda on the radio are now holding the refugees hostage in the camps. "When you have 1 million people in a camp it is impossible to stop and ask them: 'Have you committed a crime?'" Yet many of them are afraid of returning, preferring to risk dying of malaria, cholera, dysentery rather than at the hands of the RPF. When asked about revenge, Paul Kagame denies any desire for summary executions maintaining instead that "There are no reprisals. What the refugees fear most now is to be brought to Justice."]										H		
People of the Apocalypse	1994		Rwanda	0	en	30		UK			[part of World in Action, UK series focusing on current affairs]												
The Bloody Tricolour	1995	Steve Bradshaw	Rwanda	1	en	45	BBC	UK	FILE	https://francegenocidetutsi.org/RwandaPanoramaBloodyTricolour.mp4	[BBC panorama] opens with images of refugees and v-o in French synchro says that to the outside world this may resemble "une folie tribale"; then Steve Bradshaw looking at the footage turns to audience and says that tonight he'll focus on France; then openeing credits; then footage of French soldiers in Paris and v-o talks about fraternité, égalité and liberté with footage of military parade at arc de triomphe; then v-o talks about France's intervention in Rwanda; then brief description of Rwanda's geography and about ethnic economic divisions between richer Tutsi and Hutu majority colonized by Belgians; when Belgians leave, the ancient hostilities between Hutu and Tutsi reemerge and Rwanda is governed by a Hutu regime "totalitaire" in the 1960s and thousands of Tutsi flee to Uganda (with map) where they form anglophone RPF; then RPF attack in October 1990 with footage with French govt. watching uneasy, acc. to v-o, that a francophone country is attacked by anglophone "terroristes", then interview with white male Capt. Paul Barril, ex advistor to Rwandan President, who says that RPF invasion was not a "classique" army but "bandes des terrorists" and "tueurs" and says that Kagame "est un produit Américain" by the CIA and says that Kagame went through American military schools; then Habyarimana in France with Mitterand with v-o saying Fance happy to grant his request for support; then interview with Mitterand's son, Jean-Christophe Mitterand, who was Mitterand's presidential advisor on African affiars in 1988-1992, who says that French intervention was for protection of French and foreign population in Rwanda; but upon arrival FAR forces open fire on French soldiers and comportment of FAR towards civilians brutal (with some footage of soldiers threatening to rifle butt a civilian and stomping on civilian in back of pickup truck); then anonymous male from French foreign legion interviewed in British Engl. with "Actor's Voice" in synchro who says he couldn't understand what was going on; then training footage of FAR and Barril saying that Hutu forces were not a professional force; white male general Joseph Canal, commander of French forces in Africa 1991-1992 with 1941 colonial poster "TROIS COULEURS \n UN DRAPEAU \n UN EMPIRE" in background who says that they prevented RPF from capturing Kigali in 1992 by their presence on the ground ("toujours en arrière" - he emphasizes several times) and by supporting the Hutu -- then corrects himself -- the Rwandan government; then reporters look at Rwandan govt. foreign diplomatic archives, focusing on French relations; then Bradshaw with documents speaks into camera and reveals (with passages in documents highlighted) that Rwandan govt. thanked the French for combat support, documents also include a recommendation list for medals for French soldiers for combat action; anonymous ex foreign legion soldier says that French troops directed artillery fire and says artillery was crucial in halting RPF because they didn't have much artillery in return, otherwise RPF would have won; then footage of "dictateur" Habyarimana sworn in and signing documents; then French Ambassador to Rwanda 1989-1993 Georges Matres says Habyarimana spoke excellent French, had "visions politiques intéressantes" and gave "l'impression d'une grande moralité"; v-o says that this aura of propriety was an illusion; then Col. Emmanuel Habyarimana, ex-FAR ("Ex-Rwandan Government Army"), about assassinations planned and claims French knew about them; then Christophe Mfizi, Rwandan Ambassador (black male) to France, with report on Rwandan government conspiracy, "Réseau Zéro" to assassinate Habyarimana so that extremists could take over; then JC Mitterand is asked about Réseau Zéro who says that of course there was corruption but member's of corruption networks didn't exactly have it written on their forehead; then white male Jean Carbonare from the International Human Rights Commission 1993 in prison where he interviews Rwandan male prisoner Janvier Afrika, who was part of Network Zero, about Réseau Zéro who then talks in Kinyarwanda with French synchro about burgomaster saying he is a real Hutu and has killed Tutsis (before the genocide); Carbonare then into camera says he believes the testimony credible and they have been able to verify elements of his testimonets; then footage of excavation with increasingly hostile crowd gathering, then Alison Desforges from the International Human Rights Commission 1993 talks about exhumation and confirms that there were "acts of genocide" because centrally directed, Des Forges had informed French officials but they apparently had responded that it's "regrettable" but to be expected in Africa; then Arusha accords with French Outre Mer TV footage; then French troops on mission in Rwanda after Arusha and RPF (with footage of their arrival with jubilant crowds) in Kigali but v-o says that Zero Network was planning genocide; then Col Luc Marchal [also in other docs] Commander of UN forces in Kigali sector 1993-1994, talks about several "cellules" of around 100 to 120 people each trained and ready to kill Tutsi; then assassination of Habyarimana with Radio Rwanda announcement in French about plane crash with stills; then typical footage of roadside corpses and of Nick Hughes killing footage; several unnamed young boy perpetrators (presumably Hutu) interviewed who talk (in Kinyarwanda with French synchro) about killing Tutsi; then v-o talks about RTLM working for Zero Network with audio announcements over footage of Nyarubuye; then Des Forges talks about killing; then closeup of tiny baby killed, then of hundreds dead; then v-o introes freelance photographer Dr Eric Girard as one of the first Westerners to realize genocidal dimension of killings, he talks about realising that it's genocide and compares to Cambodia under Pol Pot, his photos are shown; British v-o (heard in background) says that "publicly the French govt. was among the first to condemn the massacres"; JC Mitterand says it was not centrally organized because Rwanda like Africa in general is not organized enough and RTLM was not an institution; v-o about the French flying in troops to evacuate foreigners but, as Marchal says in interview, they also brought munitions for FAR; then footage of evacuation, but evacuation list contains RTLM co-founder Ferdinand Nahimana [later convicted to life imprisonment by ICTR]; more evacuations shown with roadside corpses while white people duck in military vehicles; then Dr Jean-Herve Bradol in English with French synchro from Médécins Sans Frontières who had asked for intervention, but they replied they had difficulties to reach Rwandan govt. by phone; then footage of 1995 with "France is still haunted by its Rwandan adventures"; more footage of Nyarubuye church with female survivor Rose Rwanga talks in French about Interhamwe militia surrounding church and killing her daughter and asked him at tribunal why he killed her daughter, talks about France supporting Interahamwe "beaucoup" when prompted by interviewer; Carbonare interviewed who is troubled by French "complaisance" and "complicité"; then Bradshaw among burned documents of French building in Rwanda with France having stopped supporting Rwanda because, acc. to unnamed French official cited by v-o, Rwanda is no longer a Francophone govt.; then footage of Rwandans rebuilding after war and Carbonare "dirige l'équipe" and has given humanitarian aid to rebuild schools, hospitals, and justice system to prosecute "crimes de guerre" (footage shows scars of the workers); Carbonare says he is sad about French conduct before, during, and after genocide; then back to footage of parade for Chirac; interview with premier ministre français 1972-1974 Pierre Messmer who says he believes that French govt. gave Rwandan govt impression they would be supported no matter what and says that "la francophonie" was what mattered to French govt.; JC Mitterand says in interview he does not lose sleep over Rwanda in the sense that he rejects all responsibility, but says "oui" "si vous parlez des horreurs" but says "on trouve le même au Sénégal et Maurétanie" and Bosnia-Herzegovina, and after interviewer asks Mitterand whether they encouraged the genocide he responds in English "bullshit" and then says "ridicule"; end credits	direct	FAR, Réseau Zéro (Zero Network)	M	racism	France	direct, archival	Tutsi	F	FALSE	H		
